"","S4","S39","S1","S34","S23","S43","S14","S18","S33","S21","S41","S10","S7","S9","S15","S40","S25","S47","S12","S54","S89","S51","S84","S73","S93","S64","S68","S83","S71","S91","S60","S57","S59","S65","S90","S75","S97","S62","S86","S98","S70","S53","S56","S99","S76","S77","S81","S79","S72","S82","S74","S58","S85","S87","S88","S95","S69","S92","S96","S78","S63","S104","S139","S101","S134","S123","S143","S114","S118","S133","S121","S141","S110","S107","S109","S115","S140","S125","S147","S112","S136","S148","S120","S103","S106","S149","S126","S127","S131","S129","S122"
"Il1rapl2",4,0,3,1,1,2,1,0,1,1,3,4,3,2,1,4,0,0,1,0,2,3,1,0,0,3,3,16,4,8,16,14,6,4,0,3,4,1,2,2,7,4,1,3,3,3,0,1,6,0,4,4,2,21,4,12,2,5,5,3,9,20,18,26,17,5,13,27,23,28,30,17,16,6,6,45,10,42,22,11,18,30,20,4,24,16,16,29,28,31,13
"Galntl6",2,0,2,2,2,0,0,7,1,3,1,1,0,1,1,6,5,1,1,5,14,17,2,6,3,7,13,31,2,4,39,16,11,18,5,20,8,9,3,10,9,7,2,33,2,6,5,13,17,2,10,13,4,15,20,32,12,6,14,14,4,7,7,18,12,7,6,10,6,26,16,13,10,0,12,19,1,30,18,6,11,17,5,10,12,1,4,9,13,18,4
"Fam19a1",12,9,26,31,38,12,46,18,24,17,14,25,14,48,22,30,12,27,13,4,8,3,1,5,3,20,10,19,6,15,19,17,22,5,6,14,8,13,7,19,4,8,10,12,0,11,3,9,30,6,19,8,3,10,17,18,14,6,16,7,11,16,14,11,20,13,7,19,13,24,7,7,14,5,5,26,8,28,4,23,15,27,8,15,8,4,4,29,8,12,6
"Tshz2",0,1,0,2,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,4,0,6,1,1,0,0,1,1,0,0,0,0,1,0
"RP23-231J2.1",0,0,2,0,3,0,5,2,0,4,0,0,0,0,0,9,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,2,0,0,1,1,1,1,0,0,2,3,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,1,1,1,0
"Zfp804b",2,0,2,2,8,0,3,3,2,0,0,0,2,1,1,0,4,0,0,0,3,1,0,0,2,1,3,1,0,9,0,4,5,0,1,1,0,0,1,2,1,1,0,0,0,2,1,0,12,3,1,0,2,1,1,0,0,6,3,0,2,2,5,2,16,2,1,4,0,5,1,1,1,8,0,0,3,1,1,0,0,1,0,1,3,0,1,2,4,2,10
"G730003C15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm16287",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lsamp",45,8,40,93,70,14,20,39,16,14,17,13,7,50,13,16,34,18,31,30,32,23,21,23,16,22,23,13,26,21,29,24,94,28,12,66,13,36,25,85,36,49,22,32,36,25,24,22,38,28,31,8,28,33,34,45,32,48,21,14,31,23,66,45,34,31,34,10,14,23,22,32,29,18,27,43,19,24,9,28,15,39,13,41,36,47,33,17,48,29,29
"Pcdh15",5,10,10,4,11,6,7,4,6,8,7,9,3,8,9,11,8,3,1,26,14,26,6,5,8,12,22,16,20,7,44,18,23,14,14,12,14,11,9,39,22,25,7,57,22,11,16,22,30,4,30,12,11,18,22,28,13,22,19,6,20,8,25,13,22,11,14,16,6,21,16,17,24,10,29,7,10,24,8,22,8,38,14,13,11,17,22,14,22,18,10
"Cntn5",6,3,12,10,15,9,12,10,3,5,8,7,4,9,7,8,1,4,12,11,25,26,10,9,4,25,25,18,9,23,37,37,27,21,9,25,15,13,11,26,14,33,5,32,5,9,15,14,52,7,33,29,13,21,20,32,22,15,25,26,25,17,23,16,27,9,12,18,6,32,14,17,13,18,10,19,12,24,15,13,14,27,13,14,17,25,12,21,14,14,12
"Rimbp3",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm10805",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Taco1os",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tnfaip6",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rmst",2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,5,1,1,0,0,0,0,0,0,1,0,0,0,3,0,0,2,0,0,2,2,1,2,0,3,1,1,0,1,4,2,0,0,0,1,0,0,0,5,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,4,0,1,1,2,0,0,4,0,0,0,1,0,0,0,1,0,0
